"slug","activo","categoria","subcategoria","genero","nombre","nombre_original","codigos","precio","precio_oferta","colores","tallas","foto","fotos","destacado_hp","en_excel"
"buzo-basiroa-mujer","si","casacas-y-chompas","Buzo","Mujer","Buzo Basiroa — Mujer","BUZO BASIROA","V06","","","Verde","L","","","","si"
"buzo-guajillo-mujer","si","casacas-y-chompas","Buzo","Mujer","Buzo Guajillo — Mujer","BUZO GUAJILLO","B17, N01, N015","","","Beige / Arena, Negro","XS, S, M, L, XL","buzo-m-guajillo-n015.webp","buzo-m-guajillo-n015.webp","","si"
"buzo-matape-mujer","si","casacas-y-chompas","Buzo","Mujer","Buzo Matape — Mujer","BUZO MATAPE","Z21","","","Azul","S, M, L, XL","","","","si"
"buzo-morelia-mujer","si","casacas-y-chompas","Buzo","Mujer","Buzo Morelia — Mujer","BUZO MORELIA","B17, M16","","","Beige / Arena, Marrón","XS, S, M, L, XL","","","","si"
"buzo-nina-nanae-mujer","si","casacas-y-chompas","Buzo","Mujer","Buzo Niña Nanae — Mujer","BUZO NINA NANAE","Z6C","","","Azul","","","","","si"
"buzo-nina-shinku-mujer","si","casacas-y-chompas","Buzo","Mujer","Buzo Niña Shinku — Mujer","BUZO NINA SHINKU","V1H","","","Verde","","","","","si"
"buzo-texcoco-mujer","si","casacas-y-chompas","Buzo","Mujer","Buzo Texcoco — Mujer","BUZO TEXCOCO","N01, M1O, M10, Z02","","","Negro, Marrón, Azul","XS, S, L, XL","","","","si"
"buzo-unisun-mujer","si","casacas-y-chompas","Buzo","Mujer","Buzo Unisun — Mujer","BUZO UNISUN","Z6V","","","Azul","XS, S, M, L, XL","","","","si"
"casaca-whaly-mujer","si","casacas-y-chompas","Casaca","Mujer","Casaca - Whaly — Mujer","CHAQUETA - WHALY","T2I, Z4Q","","","Terracota / Camello, Azul","XS, S, M","","","","si"
"casaca-abide-hombre","si","casacas-y-chompas","Casaca","Hombre","Casaca Abide — Hombre","CHAQUETA ABIDE","T2N, V07","338","","Terracota / Camello, Verde","M, L, XL, XXL","","","","si"
"casaca-acrony-mujer","si","casacas-y-chompas","Casaca","Mujer","Casaca Acrony — Mujer","CHAQUETA ACRONY","G17, G29, N01","","","Gris, Negro","XS, S, M, L, XL, XXL","chaqueta-m-pe-acrony-2-g17xs.webp","chaqueta-m-pe-acrony-2-g17xs.webp, chaqueta-m-pe-acrony-2-g29s.webp, chaqueta-m-pe-acrony-2-n01m.webp","","si"
"casaca-agriento-hombre","si","casacas-y-chompas","Casaca","Hombre","Casaca Agriento — Hombre","CHAQUETA AGRIENTO","N01","","","Negro","S","","","","si"
"casaca-amish-mujer","si","casacas-y-chompas","Casaca","Mujer","Casaca Amish — Mujer","CHAQUETA AMISH - M","","","","","S, M, L","","","","si"
"casaca-arwin-hombre","si","casacas-y-chompas","Casaca","Hombre","Casaca Arwin — Hombre","CHAQUETA ARWIN","N01, T2L, T2I, T01","339","","Negro, Terracota / Camello","S, M, L, XL, XXL","chaleco-h-pe-arwin-n01l.webp","chaleco-h-pe-arwin-n01l.webp, chaqueta-h-pe-arwin-t2il.webp, chaqueta-h-pe-arwin-t2ixl.webp","","si"
"casaca-baroyeca-mujer","si","casacas-y-chompas","Casaca","Mujer","Casaca Baroyeca — Mujer","CHAQUETA BAROYECA","G04","","","Gris","XS, S, M, L, XL","","","","si"
