"codigo","color_por_confirmar","color_final","referencias"
"0D6","","","LONCHERAS::BORRADOR | MOCHILAS::MORRAL RAYOL | MOCHILAS::MORRAL LAPIZ | MOCHILAS::MORRAL ACUARELA | CARTUCHERAS Y LONCHERAS::PIZARRA"
"0DJ","","","LONCHERAS::BORRADOR | LONCHERAS::PIZARRA | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL RAYOL | MOCHILAS::MORRAL RAYOL S E | CARTUCHERAS Y LONCHERAS::SOBRE | CARTUCHERAS Y LONCHERAS::AGAPEC | CARTUCHERAS Y LONCHERAS::PIZARRA"
"0F0","","","LONCHERAS::BORRADOR | LONCHERAS::PIZARRA | MOCHILAS::MORRAL RAYOL | MOCHILAS::MORRAL LAPIZ | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL PEATONAL LAPIZ | CARTUCHERAS Y LONCHERAS::PIZARRA | CARTUCHERAS Y LONCHERAS::SOBRE"
"0F1","","","MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL RAYOL"
"0FT","","","LONCHERAS::BORRADOR | LONCHERAS::PIZARRA | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL RAYOL | CARTUCHERAS Y LONCHERAS::AGAPEC | CARTUCHERAS Y LONCHERAS::ESCUADRA"
"0IJ","","","CARTUCHERAS Y LONCHERAS::PIZARRA"
"0IU","","","MOCHILAS::MORRAL NAMER | CARTUCHERAS Y LONCHERAS::KIRIBY"
"0L4","","","MOCHILAS::MORRAL RAYOL"
"0L5","","","MOCHILAS::MORRAL ACUARELA"
"0LB","","","MOCHILAS::MORRAL NAMER | MOCHILAS::MORRAL NAMMER | CARTUCHERAS Y LONCHERAS::KRETONA | CARTUCHERAS Y LONCHERAS::MULTIUSO KRETONA | MULTIUSOS::ESHITA | MULTIUSOS::BLITANY"
"0LC","","","LONCHERAS::RESALTADOR | MOCHILAS::MORRAL RAYOL ACUARELA | MOCHILAS::MORRAL GOMMAS | MOCHILAS::MORRAL RAYOL | CARTUCHERAS Y LONCHERAS::SOBRE | CARTUCHERAS Y LONCHERAS::PORTAMINAS | CARTUCHERAS Y LONCHERAS::PIZARRA | MOCHILA  - RUEDAS::MORRAL RUE VARAL"
"0LD","","","LONCHERAS::BORRADOR | LONCHERAS::PIZARRA | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL RAYOL | MOCHILAS::MORRAL NAMMER | MOCHILAS::MORRAL GOMMAS | CARTUCHERAS Y LONCHERAS::SOBRE | CARTUCHERAS Y LONCHERAS::PIZARRA"
"0LE","","","MOCHILAS::MORRAL RAYOL | CARTUCHERAS Y LONCHERAS::SOBRE | CARTUCHERAS Y LONCHERAS::PORTAMINAS | MOCHILA  - RUEDAS::MORRAL RENGLONES | MOCHILA  - RUEDAS::MORRAL P TABLET Y PC CARTA"
"0LH","","","LONCHERAS::BORRADOR | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL RAYOL | MOCHILAS::MORRAL GOMMAS | MOCHILAS::MORRAL LAPIZ | CARTUCHERAS Y LONCHERAS::ESCUADRA | MALETAS::MALETA PEGASES | MOCHILA  - RUEDAS::MORRAL RUE CARTA"
"0LI","","","MOCHILAS::MORRAL PENCIL | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL GOMMAS | CARTUCHERAS Y LONCHERAS::PORTAMINAS | MOCHILA  - RUEDAS::MORRAL RUE VARAL | MOCHILA  - RUEDAS::MORRAL RUE BOMPER RENGLON"
"0LJ","","","LONCHERAS::BORRADOR"
"0LO","","","MOCHILAS::MORRAL MARCADOR"
"0LT","","","MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL RAYOL | CARTUCHERAS Y LONCHERAS::ESCUADRA"
"0SM","","","LONCHERAS::PIZARRA"
"1EN","","","MOCHILAS::MORRAL NAMER S E CUSCO | CARTUCHERAS Y LONCHERAS::KIRIBY"
"1EU","","","CARTUCHERAS Y LONCHERAS::SOBRE"
"1FF","","","LONCHERAS::PIZARRA"
"1FG","","","MULTIUSOS::S E VIAJERO"
"1I4","","","MOCHILAS::MORRAL RAYOL"
"1ID","","","LONCHERAS::BORRADOR | LONCHERAS::RESALTADOR | LONCHERAS::NOTEBOOK | MOCHILAS::MORRAL TIJERAS | MOCHILAS::MORRAL RAYOL | CARTUCHERAS Y LONCHERAS::AGAPEC | CARTUCHERAS Y LONCHERAS::RESALTADO | CARTUCHERAS Y LONCHERAS::NOTEBOOK"
"1IE","","","LONCHERAS::PIZARRA | CARTUCHERAS Y LONCHERAS::ESCUADRA | CARTUCHERAS Y LONCHERAS::PIZARRA"
"1IF","","","MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL TIJERAS | MOCHILAS::MORRAL LAPICERO | CARTUCHERAS Y LONCHERAS::ESCUADRA | MOCHILA  - RUEDAS::MORRAL RUE BOMPER RENGLON"
"1II","","","MOCHILAS::MORRAL TOCAX"
"1IK","","","CARTUCHERAS Y LONCHERAS::LAUS"
"1IU","","","MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL RAYOL | MOCHILAS::MORRAL MARCADOR | CARTUCHERAS Y LONCHERAS::SOBRE | CARTUCHERAS Y LONCHERAS::PORTAMINAS | MOCHILA  - RUEDAS::MORRAL BOMPER RENGLONES | MOCHILA  - RUEDAS::MORRAL BOMPER RENGLON"
"1IV","","","LONCHERAS::PIZARRA | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL RAYOL | MOCHILAS::MORRAL MARCADOR | MOCHILAS::MORRAL GOMMAS | CARTUCHERAS Y LONCHERAS::SOBRE | CARTUCHERAS Y LONCHERAS::AGAPEC | CARTUCHERAS Y LONCHERAS::TAJALAPIZ"
"1LV","","","LONCHERAS::PIZARRA"
"1N7","","","MULTIUSOS::PORTA DISCO"
"1O0","","","MOCHILAS::MORRAL LAPICERO"
"1O3","","","MULTIUSOS::TURINA"
"1OD","","","MOCHILAS::MORRAL CAPRINJ CAMBIO"
"1OO","","","LONCHERAS::BORRADOR | MOCHILAS::MORRAL LAPIZ | MOCHILAS::MORRAL PC CARTULINA | MOCHILAS::MORRAL TIJERAS | MOCHILAS::MORRAL ACURELA"
"1OR","","","LONCHERAS::PIZARRA | LONCHERAS::NOTEBOOK | MOCHILAS::MORRAL ACUARELA"
"1OX","","","LONCHERAS::BORRADOR | LONCHERAS::PIZARRA | LONCHERAS::RESALTADOR | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL RAYOL | MOCHILAS::MORRAL LAPIZ | CARTUCHERAS Y LONCHERAS::SOBRE | CARTUCHERAS Y LONCHERAS::AGAPEC"
"1OY","","","LONCHERAS::BORRADOR | LONCHERAS::BRINA | MOCHILAS::MORRAL BRINA M | MOCHILAS::MORRAL BRINA L | CARTUCHERAS Y LONCHERAS::BRINA | MOCHILA  - RUEDAS::MORRAL RUE BOMPER BRINAL M | MOCHILA  - RUEDAS::MORRAL RUE BOMPER BRINA M"
"2I1","","","LONCHERAS::KOKESHI"
"2I4","","","LONCHERAS::BORRADOR | MOCHILAS::MORRAL LAPIZ | MOCHILA  - RUEDAS::MORRAL BOMPER RENGLON"
"2I7","","","LONCHERAS::BORRADOR | CARTUCHERAS Y LONCHERAS::PORTAMINAS | CARTUCHERAS Y LONCHERAS::RESALTADO"
"2IP","","","MOCHILAS::MORRAL LAPIZ"
"2IQ","","","MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL RAYOL | MOCHILAS::MORRAL GOMMAS | CARTUCHERAS Y LONCHERAS::ESCUADRA | CARTUCHERAS Y LONCHERAS::PORTAMINAS | CARTUCHERAS Y LONCHERAS::TAJALAPIZ | MOCHILA  - RUEDAS::MORRAL BOMPER RESMA A4 | MOCHILA  - RUEDAS::MORRAL RENGLONES"
"2IR","","","LONCHERAS::BORRADOR | LONCHERAS::RESALTADOR | MOCHILAS::MORRAL RAYOL | MOCHILAS::MORRAL LAPIZ | MOCHILAS::MORRAL ACUARELA | CARTUCHERAS Y LONCHERAS::SOBRE | CARTUCHERAS Y LONCHERAS::TAJALAPIZ | CARTUCHERAS Y LONCHERAS::PIZARRA"
"2O0","","","CARTUCHERAS Y LONCHERAS::LAUS"
"2O1","","","MOCHILAS::MORRAL OMETTO | CARTUCHERAS Y LONCHERAS::GALVITTO"
"2O4","","","LONCHERAS::BORRADOR | LONCHERAS::PIZARRA | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL RAYOL | CARTUCHERAS Y LONCHERAS::SOBRE | CARTUCHERAS Y LONCHERAS::PIZARRA"
"2SA","","","LONCHERAS::RESALTADOR | MOCHILAS::MORRAL TIJERAS | CARTUCHERAS Y LONCHERAS::PIZARRA | MOCHILA  - RUEDAS::MORRAL RUE RENGLON"
"2SH","","","MULTIUSOS::SHOPPING CHATALLI"
"2Z2","","","MOCHILAS::MORRAL CIELO"
"31S","","","CARTUCHERAS Y LONCHERAS::SOBRE"
"3E7","","","MOCHILAS::MORRAL GOMMAS"
"3I1","","","MOCHILAS::MORRAL OMETTO | MOCHILAS::MORRAL GAMATTO"
"3I9","","","MOCHILAS::MORRAL ACALA M | MOCHILAS::SHOPPING CHATALLI | CARTUCHERAS Y LONCHERAS::ACALA | CARTUCHERAS Y LONCHERAS::MULTIUSO ACALA"
"3IA","","","LONCHERAS::LIRY | MOCHILAS::MORRAL LIRY M | CARTUCHERAS Y LONCHERAS::LIRY"
"3IC","","","MOCHILAS::MORRAL EMELINDA"
"3IJ","","","MOCHILAS::MORRAL NAMER | MOCHILAS::MORRAL ANTIQUE | MOCHILAS::MORRAL NAMMER | CARTUCHERAS Y LONCHERAS::KIJAL | CARTUCHERAS Y LONCHERAS::LAUS | CARTUCHERAS Y LONCHERAS::KIRIBY"
"3IK","","","MOCHILAS::MORRAL OMETTO | MOCHILAS::MORRAL GAMMATTO | MOCHILAS::MORRAL GAMATTO | CARTUCHERAS Y LONCHERAS::GALVITTO"
"3IL","","","MOCHILAS::MORRAL ACUARELA | MULTIUSOS::BILLETERA RIGALY"
"3IM","","","MOCHILAS::MORRAL TOCAX | MOCHILAS::MORRAL TOQUITO | MULTIUSOS::VIAJERO BIRUNGA"
"3IN","","","MOCHILAS::MORRAL TOCAX"
"3IP","","","LONCHERAS::BORRADOR | LONCHERAS::PIZARRA | MOCHILAS::MORRAL RAYOL | MOCHILAS::MORRAL ACUARELA | CARTUCHERAS Y LONCHERAS::SOBRE | CARTUCHERAS Y LONCHERAS::PIZARRA"
"3IQ","","","LONCHERAS::PIZARRA"
"3IR","","","LONCHERAS::BORRADOR | LONCHERAS::PIZARRA | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL RAYOL"
"3IS","","","LONCHERAS::BORRADOR | LONCHERAS::PIZARRA | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL RAYOL | CARTUCHERAS Y LONCHERAS::PIZARRA"
"3IW","","","LONCHERAS::BORRADOR | LONCHERAS::RESALTADOR | MOCHILAS::MORRAL RAYOL | MOCHILAS::MORRAL ACUARELA | CARTUCHERAS Y LONCHERAS::SOBRE | CARTUCHERAS Y LONCHERAS::ESCUADRA | CARTUCHERAS Y LONCHERAS::PIZARRA | CARTUCHERAS Y LONCHERAS::RESALTADO"
"3LQ","","","LONCHERAS::NOTEBOOK | MOCHILAS::MORRAL RAYOL | MOCHILAS::MORRAL TIJERAS | CARTUCHERAS Y LONCHERAS::ESCUADRA | CARTUCHERAS Y LONCHERAS::PIZARRA"
"3LR","","","LONCHERAS::BORRADOR | MOCHILAS::MORRAL LAPICERO | CARTUCHERAS Y LONCHERAS::SOBRE | CARTUCHERAS Y LONCHERAS::PIZARRA | CARTUCHERAS Y LONCHERAS::RESALTADO | MOCHILA  - RUEDAS::MORRAL RUE REGLA"
"3RL","","","MOCHILAS::MORRAL ACUARELA"
"3SA","","","MOCHILA  - RUEDAS::MORRAL RUE RENGLON"
"3SC","","","MOCHILAS::MORRAL ACUARELA | MOCHILA  - RUEDAS::BOMPER P TABLET Y PC CUDRICULAD"
"3SD","","","LONCHERAS::BORRADOR | CARTUCHERAS Y LONCHERAS::PORTAMINAS | MOCHILA  - RUEDAS::MORRAL RUE RENGLON"
"3SI","","","CARTUCHERAS Y LONCHERAS::SOBRE | MOCHILA  - RUEDAS::MORRAL BOMPER RENGLON"
"3UW","","","MOCHILA  - RUEDAS::MORRAL BOMPER DUNKO"
"4E7","","","LONCHERAS::RESALTADOR | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL LAPICERO | MOCHILAS::FOLDER LEGAJADOR TRAPPYCOS | MOCHILAS::MORRAL UNIVERSITARIO LAPICERO | CARTUCHERAS Y LONCHERAS::ESCUADRA | MOCHILA  - RUEDAS::MORRAL BOMPER RESMA A4 | MOCHILA  - RUEDAS::MORRAL RUE REGLA"
"4E8","","","LONCHERAS::BORRADOR"
"4EA","","","LONCHERAS::BORRADOR | MOCHILAS::MORRAL TIJERAS | CARTUCHERAS Y LONCHERAS::SOBRE | CARTUCHERAS Y LONCHERAS::ESCUADRA"
"4EH","","","MOCHILAS::MORRAL ANTIQUE"
"4EN","","","LONCHERAS::MEOW | MOCHILAS::BORRAL MEOW L VENDIDO MUNECA | MOCHILAS::BORRAL MEOW L | MOCHILAS::BORRAL MEOW M"
"4EW","","","MOCHILAS::MORRAL MEOW L"
"4HS","","","MOCHILA  - RUEDAS::MORRAL RUE VARAL"
"4I4","","","LONCHERAS::BORRADOR | LONCHERAS::PIZARRA | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL RAYOL | CARTUCHERAS Y LONCHERAS::SOBRE | CARTUCHERAS Y LONCHERAS::AGAPEC | CARTUCHERAS Y LONCHERAS::ESCUADRA | CARTUCHERAS Y LONCHERAS::PIZARRA"
"4I5","","","LONCHERAS::BORRADOR | LONCHERAS::PIZARRA | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL RAYOL | CARTUCHERAS Y LONCHERAS::PIZARRA"
"4L7","","","MOCHILAS::MORRAL TIJERAS"
"4L8","","","LONCHERAS::BORRADOR | MOCHILAS::MORRAL TIJERAS | MOCHILAS::MORRAL LAPICERO | MOCHILAS::MORRAL UNIVERSITARIO LAPICERO | CARTUCHERAS Y LONCHERAS::SOBRE"
"4LZ","","","LONCHERAS::BORRADOR | LONCHERAS::RESALTADOR | MOCHILAS::MORRAL TIJERAS"
"4OX","","","MOCHILAS::MORRAL RAYOL"
"4RX","","","MOCHILAS::MORRAL SOKIRU DISENO BTM | MOCHILAS::MORRAL SOKIRU"
"4RY","","","LONCHERAS::BORRADOR | MOCHILAS::MORRAL ACUARELA | MOCHILAS::MORRAL GOMMAS | MOCHILAS::MORRAL PENCIL | MOCHILAS::PENCEL PENCIL | MOCHILAS::MORRAL LAPIZ | CARTUCHERAS Y LONCHERAS::SOBRE | CARTUCHERAS Y LONCHERAS::PORTAMINAS"
