"codigo","color_por_confirmar","color_final","modelos"
"0D1","","","BACANORA"
"0D3","","","RAYOL"
"0DF","","","TEKANA 0DFXXL"
"0DJ","","","PIZARRA"
"0FB","","","DOWN"
"0FI","","","PORTER"
"0FJ","","","INDOSTAN"
"0FM","","","DAMARIO"
"0FT","","","PIZARRA"
"0FY","","","DOWN"
"0LB","","","NAMER"
"0LE","","","RENGLONES"
"0LH","","","PEGASES"
"0LI","","","VARAL"
"1910","","","CHELO"
"1EN","","","NAMER"
"1F3","","","PASILLA 1F3XS"
"1F4","","","PASILLA"
"1IB","","","MERINO"
"1ITF","","","RENGLON"
"1IU","","","RAYOL"
"1IV","","","PIZARRA, RAYOL, RENGLON, CARTA"
"1OX","","","RAYOL, RENGLON"
"1OY","","","BRINA"
"204","","","RAYOL"
"2I4","","","RENGLON"
"2IQ","","","RENGLONES"
"2IR","","","RENGLON"
"2O4","","","PIZARRA"
"2RF","","","DOWN 2RFXXL"
"2RI","","","KANSAS 2RIXXL"
"2SA","","","RENGLON"
"2SJ","","","DOWN 2SJXL"
"2SM","","","DAMARIO"
"2SN","","","INDOSTAN 2SNXL"
"2SO","","","KANSAS"
"2UO","","","DAMARIO 2UOXXL"
"2UQ","","","DAMARIO 2UQXL"
"31P","","","RAYOL"
"3IJ","","","NAMER"
"3IN","","","GEVANCE"
"3IR","","","RAYOL"
"3IZ","","","DAMARIO 3IZXL"
"3LQ","","","RENGLON"
"4I4","","","PIZARRA, RAYOL"
"4LE","","","DOWN"
"4RO","","","DAMARIO 4ROXL"
"4RY","","","BORRADOR, VARAL"
"4RZ","","","RAYOL, VARAL"
"4S3","","","DOWN"
"4SE","","","BORRADOR, RENGLON"
"4SH","","","RENGLONES, CARTA, VARAL"
"4SJ","","","ACUARELA, RENGLON"
"5L0","","","RENGLON"
"5L9","","","RAYOL"
"5LB","","","RAYOL"
"5LW","","","VARAL"
"5R9","","","PIZARRA, RAYOL"
"5RB","","","RAYOL"
"5S6","","","RENGLON"
"5SI","","","NAMER"
"5SP","","","QUESTA"
"6LO","","","RENGLON"
"6LQ","","","RENGLON"
"6LV","","","RENGLON"
"6LX","","","RENGLON"
"6S3","","","PORTER"
"7E4","","","RENGLON"
"7EO","","","MIRAGE L"
"7GH","","","DOWN"
"7LA","","","OLIVERY"
"7LD","","","NAMER"
"7LF","","","NAMER"
"7LG","","","PIZARRA, RAYOL"
"7MJ","","","RENGLON"
"7MK","","","RENGLON"
"7V9","","","CARTA"
"7VO","","","DOWN"
"8E2","","","BORRADOR, RAYOL"
"8E3","","","QUESTA"
"8E4","","","PIZARRA"
"8E6","","","BORRADOR"
"8EO","","","POBLANO"
"8G","","","VARAL"
"8GN","","","ACUARELA, VARAL"
"8GT","","","VARAL"
"8L0","","","EXPEDIT"
"8LJ","","","PORTER"
"8LU","","","PIZARRA"
"8LW","","","DIVER 8LWXL"
"8MA","","","PIZARRA, PEGASES, ACUARELA, CARTA"
"8MP","","","TULAN"
"9B4","","","PIZARRA"
"9G6","","","TULAN"
"9GA","","","HABANERA"
"9GB","","","PORTER"
"9L3","","","VARAL"
"9LF","","","SUPER SOCCER"
"9LJ","","","PEGASES"
"9T3","","","RAYOL"
"9TM","","","DOWN"
"9VB","","","RENGLON"
"9VJ","","","PIZARRA, ACUARELA"
"B0","Beige / Arena","","TUINALLY"
"B01","Beige / Arena","","CHELO, CHOLATE B01XS"
"B17","Beige / Arena","","CHICHARITA, ETULCO, KILLEN B17XL, TAPALPA, JAHUARA, MAZOCAHUI B17XL, NOCOA"
